Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day,Number Fatalities,"Bus 
Involvement",Time of Day
20231069,NSW,4,2023,Tuesday,23:09:00,Single,No,No,No,60,Passenger,Male,13,Outer Regional Australia,Riverina,Leeton,Local Road,No,No,0_to_16,Weekday,Night,4,No,Night
20231069,NSW,4,2023,Tuesday,23:09:00,Single,No,No,No,60,Passenger,Male,12,Outer Regional Australia,Riverina,Leeton,Local Road,No,No,0_to_16,Weekday,Night,4,No,Night
20231016,NSW,3,2023,Saturday,21:30:00,Single,No,No,No,100,Passenger,Male,14,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Sub-arterial Road,No,No,0_to_16,Weekend,Night,3,No,Night
20233099,Qld,3,2023,Saturday,21:00:00,Multiple,No,No,No,50,Motorcycle rider,Male,17,Major Cities of Australia,Logan - Beaudesert,Logan,Local Road,No,No,17_to_25,Weekend,Night,1,No,Night
20231034,NSW,3,2023,Saturday,09:50:00,Single,No,No,No,100,Driver,Male,15,Outer Regional Australia,New England and North West,Inverell,Sub-arterial Road,No,No,0_to_16,Weekend,Day,1,No,Day
20232079,Vic,3,2023,Saturday,11:50:00,Multiple,No,No,No,40,Passenger,Female,16,-9,-9,-9,Sub-arterial Road,No,No,0_to_16,Weekend,Day,1,No,Day
20235052,WA,3,2023,Saturday,13:19:00,Single,No,No,No,80,Driver,Male,17,-9,-9,-9,-9,No,No,17_to_25,Weekend,Day,1,No,Day
20235057,WA,3,2023,Friday,15:54:00,Single,No,No,No,80,Motorcycle rider,Male,16,-9,-9,-9,-9,No,No,0_to_16,Weekday,Day,1,No,Day
20232086,Vic,3,2023,Wednesday,06:43:00,Multiple,No,Yes,No,60,Pedal cyclist,Male,18,Major Cities of Australia,Melbourne - South East,Monash,Arterial Road,No,No,17_to_25,Weekday,Day,1,No,Day
20233105,Qld,2,2023,Friday,23:00:00,Single,No,No,No,100,Driver,Male,17,Very Remote Australia,Queensland - Outback,Cloncurry,National or State Highway,No,No,17_to_25,Weekend,Night,1,No,Night
20232067,Vic,2,2023,Saturday,14:58:00,Single,No,No,No,50,Motorcycle rider,Male,18,-9,-9,-9,Collector Road,No,No,17_to_25,Weekend,Day,1,No,Day
20235060,WA,2,2023,Tuesday,19:32:00,Single,No,No,No,60,Motorcycle rider,Male,16,-9,-9,-9,-9,No,No,0_to_16,Weekday,Night,1,No,Night
20233113,Qld,2,2023,Wednesday,15:00:00,Single,No,No,No,100,Pedestrian,Male,14,Inner Regional Australia,Wide Bay,Gympie,Sub-arterial Road,No,No,0_to_16,Weekday,Day,1,No,Day
20231002,NSW,1,2023,Sunday,02:00:00,Single,No,No,No,80,Driver,Male,18,Inner Regional Australia,Capital Region,Yass Valley,Arterial Road,No,No,17_to_25,Weekend,Night,1,No,Night
20233144,Qld,1,2023,Sunday,10:00:00,Multiple,No,Yes,No,60,Motorcycle rider,Male,15,Major Cities of Australia,Logan - Beaudesert,Logan,Local Road,Yes,No,0_to_16,Weekend,Day,1,No,Day
20234014,SA,1,2023,Monday,06:40:00,Single,No,No,No,110,Driver,Male,18,Outer Regional Australia,South Australia - South East,Naracoorte Lucindale,National or State Highway,No,No,17_to_25,Weekday,Day,1,No,Day
20225092,WA,12,2022,Thursday,17:49:00,Single,No,No,No,110,Passenger,Male,14,-9,-9,-9,-9,No,No,0_to_16,Weekday,Day,1,No,Day
20224045,SA,12,2022,Tuesday,19:30:00,Single,No,No,No,110,Passenger,Female,17,Outer Regional Australia,Barossa - Yorke - Mid North,Wakefield,National or State Highway,Yes,No,17_to_25,Weekday,Night,3,No,Night
20221184,NSW,12,2022,Thursday,11:15:00,Multiple,No,No,No,50,Pedestrian,Male,17,Major Cities of Australia,Sydney - Parramatta,Parramatta,Local Road,No,No,17_to_25,Weekday,Day,1,No,Day
20223003,Qld,11,2022,Thursday,23:00:00,Single,No,No,No,80,Driver,Male,17,Major Cities of Australia,Brisbane - East,Brisbane,Local Road,No,No,17_to_25,Weekday,Night,1,No,Night
20226034,Tas,11,2022,Saturday,15:15:00,Single,No,No,No,80,Motorcycle rider,Male,16,Outer Regional Australia,West and North West,Waratah-Wynyard,Access road,No,No,0_to_16,Weekend,Day,1,No,Day
20223096,Qld,11,2022,Sunday,14:00:00,Multiple,No,No,No,100,Driver,Male,17,Inner Regional Australia,Darling Downs - Maranoa,Southern Downs,National or State Highway,No,No,17_to_25,Weekend,Day,1,No,Day
20221112,NSW,11,2022,Sunday,16:41:00,Single,No,No,No,50,Passenger,Male,18,Major Cities of Australia,Sydney - North Sydney and Hornsby,North Sydney,Local Road,No,No,17_to_25,Weekend,Day,1,No,Day
