Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day,Number Fatalities,"Bus 
Involvement",Time of Day
20221159,NSW,6,2022,Saturday,13:08:00,Single,No,No,No,110,Passenger,Male,18,Inner Regional Australia,Southern Highlands and Shoalhaven,Wingecarribee,National or State Highway,No,No,17_to_25,Weekend,Day,1,No,Day
20221228,NSW,6,2022,Wednesday,12:10:00,Multiple,No,Yes,No,100,Passenger,Female,16,Outer Regional Australia,New England and North West,Walcha,Local Road,No,No,0_to_16,Weekday,Day,2,No,Day
20221149,NSW,6,2022,Wednesday,17:28:00,Multiple,No,No,No,100,Passenger,Male,16,Outer Regional Australia,New England and North West,Narrabri,Sub-arterial Road,No,No,0_to_16,Weekday,Day,3,No,Day
20221139,NSW,4,2022,Sunday,04:48:00,Single,No,No,No,80,Passenger,Male,16,Inner Regional Australia,Sydney - Outer South West,Wollondilly,Arterial Road,No,No,0_to_16,Weekend,Night,1,No,Night
20221233,NSW,4,2022,Monday,04:10:00,Single,No,No,No,50,Passenger,Male,17,Major Cities of Australia,Sydney - Sutherland,Sutherland,Collector Road,No,Yes,17_to_25,Weekend,Night,1,No,Night
20221118,NSW,4,2022,Tuesday,20:40:00,Multiple,No,No,No,70,Passenger,Female,16,Major Cities of Australia,Sydney - South West,Liverpool,Arterial Road,No,No,0_to_16,Weekday,Night,1,No,Night
20221110,NSW,4,2022,Thursday,03:00:00,Single,No,No,No,100,Passenger,Male,15,Outer Regional Australia,Murray,Wentworth,National or State Highway,No,Yes,0_to_16,Weekday,Night,2,No,Night
20221110,NSW,4,2022,Thursday,03:00:00,Single,No,No,No,100,Passenger,Male,15,Outer Regional Australia,Murray,Wentworth,National or State Highway,No,Yes,0_to_16,Weekday,Night,2,No,Night
20221145,NSW,3,2022,Wednesday,22:30:00,Single,No,No,No,70,Motorcycle rider,Male,18,Major Cities of Australia,Sydney - South West,Liverpool,Arterial Road,No,No,17_to_25,Weekday,Night,1,No,Night
20221065,NSW,2,2022,Saturday,21:10:00,Multiple,No,No,No,80,Passenger,Male,18,Inner Regional Australia,Sydney - Outer West and Blue Mountains,Wollondilly,Sub-arterial Road,No,No,17_to_25,Weekend,Night,1,No,Night
20221189,NSW,2,2022,Saturday,07:30:00,Multiple,No,No,No,50,Motorcycle rider,Male,16,Major Cities of Australia,Sydney - City and Inner South,Sydney,Collector Road,No,No,0_to_16,Weekend,Day,1,No,Day
20221016,NSW,2,2022,Sunday,04:20:00,Single,No,No,No,80,Pedestrian,Male,18,Inner Regional Australia,Sydney - Outer South West,Wollondilly,Arterial Road,No,No,17_to_25,Weekend,Night,1,No,Night
